
--------------- Summary of the best ET model for JADES ---------------
Train log-log MAE   0.23799 +- 0.00342
Test log-log MAE    0.64999 +- 0.02760
Train log-log R2    0.91829 +- 0.00207
Test log-log R2     0.46635 +- 0.04214
Train Spearman      0.96258 +- 0.00101
Test Spearman       0.70948 +- 0.02386

Feature importances:
    F115W      0.22283 +- 0.00669
    F150W      0.15366 +- 0.00615
    F200W      0.07862 +- 0.00326
    F277W      0.08844 +- 0.00299
    F335M      0.08121 +- 0.00251
    F356W      0.09810 +- 0.00361
    F410M      0.09366 +- 0.00359
    F444W      0.09450 +- 0.00326
    redshift   0.08897 +- 0.00551

Permutation importances:
    F115W      0.11686 +- 0.04809
    F150W      0.15752 +- 0.08776
    F200W      0.04257 +- 0.01660
    F277W      0.08965 +- 0.02403
    F335M      0.09490 +- 0.02558
    F356W      0.14023 +- 0.03029
    F410M      0.11339 +- 0.02936
    F444W      0.14486 +- 0.03793
    redshift   0.10001 +- 0.04478

