
--------------- Summary of the best ET model for JADES ---------------
Train log-log MAE   0.46765 +- 0.00605
Test log-log MAE    0.55722 +- 0.02619
Train log-log R2    0.69228 +- 0.00676
Test log-log R2     0.56183 +- 0.03716
Train Spearman      0.84109 +- 0.00381
Test Spearman       0.77066 +- 0.02094

Feature importances:
    F115W      0.25329 +- 0.00871
    F150W      0.21083 +- 0.00868
    F200W      0.07284 +- 0.00497
    F277W      0.06892 +- 0.00383
    F335M      0.04867 +- 0.00265
    F356W      0.06624 +- 0.00387
    F410M      0.05065 +- 0.00353
    F444W      0.04747 +- 0.00269
    redshift   0.18109 +- 0.00845

Permutation importances:
    F115W      0.38873 +- 0.03766
    F150W      0.22608 +- 0.02732
    F200W      0.02076 +- 0.00828
    F277W      0.03059 +- 0.00922
    F335M      0.01488 +- 0.00667
    F356W      0.03066 +- 0.00923
    F410M      0.01288 +- 0.00645
    F444W      0.01131 +- 0.00562
    redshift   0.26411 +- 0.05399

